iter	Logloss
186	0.2434319345
187	0.2425245281
188	0.241556496
189	0.2409227599
190	0.2402725823
191	0.239694211
192	0.2387388269
193	0.2381708579
194	0.2374063172
195	0.2364134068
196	0.235576916
197	0.2347131503
198	0.2342310077
199	0.2334561124
200	0.2323619193
201	0.2319587235
202	0.2311348845
203	0.2302704364
204	0.2296110622
205	0.2286107558
206	0.2278152182
207	0.2271117211
208	0.2262794987
209	0.2252464472
210	0.2247790185
211	0.2235921789
212	0.2230673425
213	0.2223548153
214	0.2217612187
215	0.2210564002
216	0.2204113796
217	0.2194877651
218	0.218735684
219	0.2182193439
220	0.217659183
221	0.2168841602
222	0.216048515
223	0.2152226165
224	0.2143900427
225	0.213861763
226	0.2130530861
227	0.2125591853
228	0.2119082522
229	0.2111391651
230	0.2103613379
231	0.2098558215
232	0.2088340574
233	0.2082234946
234	0.207741925
235	0.207229573
236	0.2067622235
237	0.2063508403
238	0.2059377931
239	0.2053736892
240	0.2048857644
241	0.2043213831
242	0.2039980071
243	0.2035193616
244	0.2028018201
245	0.2024381665
246	0.2018980161
247	0.2015392113
248	0.2008498951
249	0.2001947341
250	0.1996641124
251	0.1986657057
252	0.1982099116
253	0.1976341632
254	0.197115493
255	0.1964887625
256	0.1956847638
257	0.1953597782
258	0.1947948378
259	0.1942744552
260	0.1938915297
261	0.1933210333
262	0.1927331738
263	0.1922891991
264	0.1919069416
265	0.191386944
266	0.1908328841
267	0.1902097517
268	0.1896675249
269	0.1892705428
270	0.1887381959
271	0.1882723791
272	0.1877235883
273	0.1873055227
274	0.1867989995
275	0.1860529246
276	0.1854739966
277	0.1848793788
278	0.1843959125
279	0.1839465935
280	0.1833559959
281	0.1829444871
282	0.1826058048
283	0.1821879232
284	0.1814877975
285	0.181072593
286	0.1806803674
287	0.180211675
288	0.1797551443
289	0.1792789531
290	0.1789476289
291	0.1785722746
292	0.1780569464
293	0.1777413352
294	0.1773337776
295	0.1770713089
296	0.1766271953
297	0.1761523962
298	0.1758289623
299	0.1752826806
300	0.1749223907
301	0.1744382825
302	0.1739243357
303	0.1735780584
304	0.1731870255
305	0.1728095554
306	0.1724982847
307	0.1721469738
308	0.1718035224
309	0.1713664476
310	0.1710424622
311	0.1706389056
312	0.1702834914
313	0.1697764523
314	0.1692469928
315	0.1687677607
316	0.1683060898
317	0.1678969062
318	0.1676161441
319	0.167191821
320	0.1668721803
321	0.1664556536
322	0.1659689863
323	0.1656083764
324	0.1652241548
325	0.1647608781
326	0.1642688853
327	0.1637302607
328	0.1630741924
329	0.1629014838
330	0.1624995673
331	0.1619436022
332	0.1613904801
333	0.1611163146
334	0.1605655286
335	0.1602019124
336	0.1599791134
337	0.1596686338
338	0.1592673458
339	0.1588184431
340	0.1585364738
341	0.158047658
342	0.1579184665
343	0.1576264607
344	0.1571289536
345	0.1568304727
346	0.1563318492
347	0.1557570465
348	0.1554206113
349	0.1550550805
350	0.1544257539
351	0.1540852992
352	0.1538229643
353	0.1535200119
354	0.1531285626
355	0.1528026319
356	0.1525869002
357	0.1521967052
358	0.1518555553
359	0.1516668849
360	0.151278238
361	0.1511744204
362	0.1509318398
363	0.150654831
364	0.1502350469
365	0.1497969741
366	0.1495418892
367	0.1491994366
368	0.148903534
369	0.1487094698
370	0.1484528991
371	0.1479592174
372	0.1476381197
373	0.1472785383
374	0.1469230843
375	0.1465081335
376	0.1460553113
377	0.1456754609
378	0.1453967854
379	0.1451341542
380	0.1447374483
381	0.1444735264
382	0.144045325
383	0.1438294707
384	0.1435730154
385	0.1433651902
386	0.1431139254
387	0.142758042
388	0.1426132706
389	0.142171887
390	0.1417711851
391	0.1414287176
392	0.1412297238
393	0.1409172534
394	0.1406565997
395	0.1402772834
396	0.1400121128
397	0.139785737
398	0.1394123989
399	0.1392146256
400	0.1389044262
401	0.138595324
402	0.1383918345
403	0.1380550676
404	0.1379949815
405	0.1375326647
406	0.1374008703
407	0.1372076187
408	0.1369063223
409	0.136615784
410	0.1363641107
411	0.1359657215
412	0.1356522168
413	0.135419074
414	0.1350535389
415	0.1346486587
416	0.134368856
417	0.1342386829
418	0.133914884
419	0.1336794421
420	0.1333719455
421	0.1331253955
422	0.1328300467
423	0.1324697559
424	0.1322546726
425	0.1320545077
426	0.1317837231
427	0.131589969
428	0.1312893935
429	0.1309871427
430	0.130752581
431	0.1305799095
432	0.1304980447
433	0.1302499952
434	0.1299927749
435	0.1297418936
436	0.129670171
437	0.1295130797
438	0.129125403
439	0.1287818809
440	0.1284651681
441	0.1281099434
442	0.1278943614
443	0.1277137305
444	0.1273438859
445	0.1271652888
446	0.1269843676
447	0.1269249016
448	0.1266753589
449	0.1264408902
450	0.1262595222
451	0.1260830319
452	0.1259843052
453	0.1258589664
454	0.125673482
455	0.1253920723
456	0.1251114198
457	0.1248695193
458	0.1245692802
459	0.1243621163
460	0.1241280209
461	0.123967743
462	0.1236865608
463	0.1233953055
464	0.1230468388
465	0.1228364691
466	0.1225982117
467	0.1223522348
468	0.1222358571
469	0.122059746
470	0.1216043604
471	0.1213830509
472	0.1211538284
473	0.1208291755
474	0.1206800742
475	0.1203750578
476	0.1202311408
477	0.1198603036
478	0.1195999135
479	0.1193122208
480	0.1192291292
481	0.1189935997
482	0.1187257393
483	0.118553254
484	0.1183017269
485	0.1181226043
486	0.1179718211
487	0.1178168687
488	0.1177620898
489	0.1174736044
490	0.1173084687
491	0.1171827683
492	0.1170139154
493	0.1168864193
494	0.1167403444
495	0.1164340242
496	0.1162440201
497	0.1160408018
498	0.1158145153
499	0.1155752867
500	0.1153179792
501	0.1150419347
502	0.1147983794
503	0.1146924336
504	0.1144904655
505	0.1142792411
506	0.114010151
507	0.1137638311
508	0.1134109664
509	0.1132425991
510	0.1129702691
511	0.1128093522
512	0.1127829356
513	0.1126912021
514	0.1125083808
515	0.1124148458
516	0.1121795834
517	0.1119718701
518	0.1118901357
519	0.1116257187
520	0.1114541307
521	0.1112778432
522	0.1111559112
523	0.1109157052
524	0.1108565875
525	0.1107729479
526	0.1105888316
527	0.1103408851
528	0.1102606708
529	0.1101168864
530	0.1099808646
531	0.1098343549
532	0.1096655263
533	0.109460801
534	0.1091705446
535	0.109055203
536	0.1089145972
537	0.1088676344
538	0.1086560016
539	0.1085092629
540	0.1082773378
541	0.1081918863
542	0.1081033746
543	0.1078761669
544	0.1077536076
545	0.1076945718
546	0.1074355002
547	0.1072406914
548	0.1070492251
549	0.1068722302
550	0.1066833744
551	0.1065111741
552	0.1063310576
553	0.1060982805
554	0.1059504305
555	0.1057639591
556	0.1055804847
557	0.1054063557
558	0.1052310519
559	0.1051498805
560	0.1050042143
561	0.1047318517
562	0.1045613568
563	0.104349918
564	0.1042009257
565	0.1039287919
566	0.1037184529
567	0.1035579816
568	0.103522035
569	0.1033521784
570	0.1031418302
571	0.1029737838
572	0.1028331777
573	0.1026272077
574	0.1024834492
575	0.1022377723
576	0.1020435587
577	0.1018426575
578	0.1017639281
579	0.101491126
580	0.1012853292
581	0.1010483937
582	0.1008035006
583	0.1006563336
584	0.1004895222
585	0.1002833775
586	0.1002066257
587	0.1000833203
588	0.09984870632
589	0.09977885278
590	0.09965045287
591	0.09948273384
592	0.09926782179
593	0.0990785881
594	0.098828883
595	0.0986954522
596	0.09852044706
597	0.09832493146
598	0.09825029877
599	0.0980642895
600	0.09790599684
601	0.09771212992
602	0.09752500593
603	0.09734059196
604	0.09713826779
605	0.09698648224
606	0.09684698648
607	0.09660065814
608	0.09639445408
609	0.0962559479
610	0.09614263369
611	0.0959853504
612	0.09577149208
613	0.09560181069
614	0.09543806235
615	0.09527373697
616	0.09504273888
617	0.0948230478
618	0.09455678313
619	0.09438786184
620	0.09418348059
621	0.09396912899
622	0.09382316622
623	0.0936193656
624	0.09353371172
625	0.09332212607
626	0.09322956654
627	0.09299670851
628	0.09279024624
629	0.09266978649
630	0.09250374464
631	0.09243047095
632	0.09227076095
633	0.09204892966
634	0.09186488098
635	0.09173523963
636	0.09153576111
637	0.09141719615
638	0.09131544231
639	0.09123903103
640	0.09113706636
641	0.09096761793
642	0.0908596061
643	0.09069391531
644	0.09058208906
645	0.09045183436
646	0.09028404873
647	0.09009154487
648	0.0899698219
649	0.08981683993
650	0.08964928117
651	0.08954849977
652	0.0893567434
653	0.08924674357
654	0.08902361717
655	0.08891032832
656	0.08867193656
657	0.08844352367
658	0.088265073
659	0.08814437687
660	0.08804456178
661	0.0879586788
662	0.08778293597
663	0.08761994191
664	0.0874798434
665	0.08733909122
666	0.08721591674
667	0.08703667178
668	0.08691886541
669	0.08687742598
670	0.08676776241
671	0.08663887907
672	0.08653264729
673	0.08641473085
674	0.08622971715
675	0.08618023348
676	0.08610576429
677	0.08591889005
678	0.08587394926
679	0.08569866136
680	0.08561404757
681	0.08547072436
682	0.08533022414
683	0.08526678544
684	0.08519199271
685	0.08505578216
686	0.08495162887
687	0.0847904909
688	0.08457155165
689	0.08451797828
690	0.08427886682
691	0.08419560669
692	0.08414524869
693	0.08407432399
694	0.08390425966
695	0.08385397365
696	0.08367157689
697	0.08360728164
698	0.08343472947
699	0.08331701774
700	0.08313100299
701	0.08297101166
702	0.08283551872
703	0.08267713594
704	0.08256500863
705	0.08250222867
706	0.08237739073
707	0.08224930302
708	0.08212118452
709	0.08199823197
710	0.08186857413
711	0.08172575337
712	0.08169403243
713	0.08149543742
714	0.08130724844
715	0.08108075036
716	0.08098921208
717	0.08082003876
718	0.08068584596
719	0.08061015038
720	0.08052263373
721	0.08040107976
722	0.0802986627
723	0.08010028103
724	0.07997386937
725	0.07993921405
726	0.07974387476
727	0.07965371942
728	0.07955964805
729	0.07950151248
730	0.07935742905
731	0.07923882777
732	0.07915234822
733	0.079071792
734	0.07887725742
735	0.07876969745
736	0.07866029921
737	0.07851920944
738	0.07844275622
739	0.0783063993
740	0.07820935947
741	0.07806470228
742	0.07794418159
743	0.07785290467
744	0.07776396965
745	0.07756271418
746	0.07747055337
747	0.07738392502
748	0.07730320257
749	0.07728825517
750	0.07719310732
751	0.07700872307
752	0.07692546953
753	0.0767789941
754	0.07663687349
755	0.07651901964
756	0.07648316314
757	0.07636539253
758	0.07621225839
759	0.07611935075
760	0.0759877693
761	0.07587789699
762	0.07582628514
763	0.07575550547
764	0.07572202186
765	0.07561951347
766	0.07547049771
767	0.07533579276
768	0.07525528017
769	0.07512712663
770	0.07498584616
771	0.07484184235
772	0.07470993567
773	0.07461258229
774	0.07447298942
775	0.07432321259
776	0.07420157382
777	0.07410371028
778	0.0739948914
779	0.07392863566
780	0.07383280667
781	0.07371861408
782	0.07354693717
783	0.07344372289
784	0.07342413428
785	0.07330690572
786	0.07321926372
787	0.07314198514
788	0.07304042771
789	0.07288423976
790	0.07274535519
791	0.0726134998
792	0.07251383241
793	0.07244483483
794	0.07234753037
795	0.07231468441
796	0.07217446924
797	0.07207552066
798	0.07197547915
799	0.07192395931
800	0.07184199022
801	0.07168735296
802	0.07155555317
803	0.07147368055
804	0.07142373297
805	0.07125942912
806	0.07115934584
807	0.07105203267
808	0.07097115246
809	0.07076023278
810	0.07066352221
811	0.07049087835
812	0.07036221674
813	0.07022905145
814	0.07013388316
815	0.07010563334
816	0.07008190518
817	0.06999126578
818	0.06986699853
819	0.06982523018
820	0.06969992447
821	0.06955246789
822	0.06945705148
823	0.06936263797
824	0.06923210715
825	0.06917888251
826	0.06911183512
827	0.06896260451
828	0.06881991012
829	0.0686763561
830	0.06851434713
831	0.06844497035
832	0.06830646812
833	0.06825684058
834	0.06814445195
835	0.06806760166
836	0.06793811687
837	0.0677581658
838	0.06764839564
839	0.06754192322
840	0.06743870664
841	0.06729624006
842	0.06715448392
843	0.0670794496
844	0.06691894908
845	0.06682417194
846	0.06670107568
847	0.06656311642
848	0.0665108328
849	0.06637070346
850	0.06625340621
851	0.06618111907
852	0.06613358083
853	0.06603548248
854	0.06596965205
855	0.06587919208
856	0.06575888446
857	0.065734755
858	0.06565824382
859	0.06554160655
860	0.06540444899
861	0.06535462111
862	0.06520101432
863	0.0650936145
864	0.06495039179
865	0.06485958348
866	0.06477647779
867	0.06465145799
868	0.06455082388
869	0.06442425523
870	0.06435275418
871	0.06419687946
872	0.06413370515
873	0.06410840561
874	0.06400171999
875	0.06388174358
876	0.06379932826
877	0.06370822054
878	0.0636189657
879	0.0634950081
880	0.06340733445
881	0.06329551717
882	0.06317773827
883	0.06300958865
884	0.06287234894
885	0.06277037531
886	0.06268937076
887	0.06261083208
888	0.06253151733
889	0.06249689019
890	0.06239705692
891	0.06228646282
892	0.06219530405
893	0.06210027997
894	0.06200473265
895	0.06189761335
896	0.0618374386
897	0.06178464069
898	0.06166016267
899	0.06157690049
900	0.06150948208
901	0.06141323534
902	0.06135101957
903	0.06131316373
904	0.06116422217
905	0.06110609122
906	0.06099164376
907	0.06088883839
908	0.06080558903
909	0.06070405087
910	0.0605973154
911	0.06045552009
912	0.06034839324
913	0.06024849952
914	0.06016278543
915	0.0601311344
916	0.06009536091
917	0.05997555588
918	0.05987019411
919	0.05979359645
920	0.05968612722
921	0.0596707396
922	0.05953951976
923	0.05941740874
924	0.059286031
925	0.0592145796
926	0.05905672938
927	0.0590447605
928	0.05897370826
929	0.05889862069
930	0.05880266144
931	0.05873617197
932	0.05863591331
933	0.05858902668
934	0.05847352448
935	0.05840545002
936	0.05833514161
937	0.05826444165
938	0.0581810968
939	0.05807651253
940	0.05799408078
941	0.0578477967
942	0.0577449035
943	0.05762142951
944	0.0575311594
945	0.0574351764
946	0.05731309805
947	0.05729310246
948	0.05714855687
949	0.05709198103
950	0.05704973941
951	0.05696143003
952	0.0569026957
953	0.05682692711
954	0.05673402985
955	0.05663997104
956	0.05655955916
957	0.05643855197
958	0.05635358373
959	0.05626525773
960	0.05615624963
961	0.05608501171
962	0.05599574683
963	0.05588814371
964	0.05574610353
965	0.05562422063
966	0.05554786774
967	0.05547146027
968	0.05542219236
969	0.05531974606
970	0.05526248672
971	0.05515179652
972	0.05506092469
973	0.0549694229
974	0.05487063925
975	0.05477374169
976	0.05469347184
977	0.05463510822
978	0.05460032709
979	0.05454595883
980	0.05449520142
981	0.05439537777
982	0.05432883812
983	0.0542215297
984	0.0541584617
985	0.05404289364
986	0.05400583742
987	0.05391075859
988	0.05378464776
989	0.05368427686
990	0.05362087874
991	0.05353775239
992	0.05345388131
993	0.05332456615
994	0.05321798942
995	0.05311781363
996	0.05305873631
997	0.05298724431
998	0.05292369053
999	0.05285442423
